time (ms),x_accel,y_accel,z_accel,g_measured,TimeInterval,Date
73.864,-0.135284,-0.973587,-0.144897,0.993564,4006.982313,07:03.0
76.8187,-0.122574,-0.977707,-0.143372,0.995736,4007.01186,07:03.0
79.7729,-0.115738,-0.972595,-0.080734,0.982779,4007.041402,07:03.0
82.7283,-0.117065,-1.001328,-0.133606,1.016962,4007.070956,07:02.9
85.6829,-0.120621,-0.958908,-0.171188,0.981509,4007.100502,07:02.9
88.6379,-0.183426,-0.951492,-0.208282,0.991143,4007.130052,07:02.9
91.5925,-0.221268,-0.934952,-0.209625,0.98338,4007.159598,07:02.8
94.5474,-0.126724,-0.957642,-0.160538,0.979239,4007.189147,07:02.8
97.5018,-0.062195,-0.983566,-0.085114,0.989199,4007.218691,07:02.8
100.4575,-0.096191,-0.974792,-0.045624,0.980589,4007.248248,07:02.8
103.4124,-0.123962,-0.970871,-0.089554,0.982841,4007.277797,07:02.7
106.3668,-0.136871,-0.988174,-0.0849,1.001215,4007.307341,07:02.7
109.3214,-0.123245,-0.985138,-0.059967,0.994627,4007.336887,07:02.7
112.276,-0.102905,-0.990433,-0.023178,0.996034,4007.366433,07:02.6
115.23,-0.046234,-0.99025,-0.051193,0.992649,4007.395973,07:02.6
118.1848,-0.056412,-0.980255,0.029648,0.982324,4007.425521,07:02.6
121.1393,-0.054489,-0.982834,-0.034164,0.984936,4007.455066,07:02.6
124.0938,-0.011551,-1.022888,-0.001038,1.022954,4007.484611,07:02.5
127.0486,0.016998,-0.992462,0.04805,0.99377,4007.514159,07:02.5
130.0032,-0.001114,-0.996307,0.020721,0.996523,4007.543705,07:02.5
132.9574,-0.115982,-0.972351,0.002304,0.979247,4007.573247,07:02.4
135.9126,-0.134171,-0.957901,0.007401,0.96728,4007.602799,07:02.4
138.8674,-0.122894,-1.021118,-0.025497,1.028803,4007.632347,07:02.4
141.8224,-0.055298,-1.00412,-0.036438,1.006301,4007.661897,07:02.3
144.7776,-0.088715,-0.978897,-0.020844,0.98313,4007.691449,07:02.3
147.7324,-0.139603,-0.954514,0.04097,0.965538,4007.720997,07:02.3
150.6872,-0.120529,-0.999527,-0.033142,1.007313,4007.750545,07:02.3
153.6427,-0.093399,-0.926788,-0.052643,0.932969,4007.7801,07:02.2
156.5975,-0.254318,-1.073547,-0.106049,1.108345,4007.809648,07:02.2
159.5523,-0.099777,-0.920822,0.060287,0.928172,4007.839196,07:02.2
162.5073,-0.047531,-0.944778,0.096451,0.950878,4007.868746,07:02.1
165.4624,0.004639,-0.968521,0.193802,0.987732,4007.898297,07:02.1
168.4152,0.005615,-0.960709,0.278778,1.000355,4007.927825,07:02.1
171.3717,0.008667,-0.940643,0.402771,1.023284,4007.95739,07:02.0
174.3265,0.054108,-1.120926,0.231201,1.1458,4007.986938,07:02.0
177.2814,-0.109497,-1.04483,0.054474,1.051964,4008.016487,07:02.0
180.2361,-0.192474,-0.855316,0.041672,0.877695,4008.046034,07:02.0
183.1908,-0.121994,-0.952393,0.036926,0.960884,4008.075581,07:01.9
186.1454,-0.123535,-0.88269,0.044617,0.892409,4008.105127,07:01.9
189.1008,-0.15892,-0.920944,0.179794,0.951693,4008.134681,07:01.9
192.0557,-0.1483,-0.876419,0.262711,0.926887,4008.16423,07:01.8
195.0108,-0.121002,-0.917389,0.259583,0.961055,4008.193781,07:01.8
197.9657,0.308029,-1.1633,0.20787,1.221212,4008.22333,07:01.8
200.9204,0.336945,-1.014618,0.377136,1.133672,4008.252877,07:01.8
203.8753,0.190903,-0.867584,0.526871,1.032831,4008.282426,07:01.7
206.8301,0.377213,-1.427933,0.659012,1.617275,4008.311974,07:01.7
209.7851,0.548309,-1.323196,1.15947,1.842786,4008.341524,07:01.7
212.7397,2.064346,2.13295,0.588547,3.026118,4008.37107,07:01.6
215.6944,0.502197,-1.766556,-0.990433,2.086595,4008.400617,07:01.6
218.6493,0.647873,-0.151215,1.267838,1.431788,4008.430166,07:01.6
221.6039,0.439026,0.379028,1.021988,1.175102,4008.459712,07:01.5
224.5588,0.716019,0.049103,0.933853,1.177784,4008.489261,07:01.5
227.5135,0.805725,-1.381363,0.991806,1.881764,4008.518808,07:01.5
230.468,0.71286,-1.369507,0.699402,1.694958,4008.548353,07:01.5
233.4225,0.620819,-1.009247,0.730896,1.392194,4008.577898,07:01.4
236.3768,0.445923,-0.630737,0.477768,0.908261,4008.607441,07:01.4
239.3315,0.362869,-0.365479,0.419678,0.664363,4008.636988,07:01.4
242.2862,0.544128,-0.197433,0.471924,0.746839,4008.666535,07:01.3
245.2407,0.679031,-0.271637,0.623123,0.960808,4008.69608,07:01.3
248.1953,0.519608,-0.713013,0.835556,1.215127,4008.725626,07:01.3
251.15,0.342911,-1.233658,1.030136,1.643375,4008.755173,07:01.3
254.1046,0.028641,-1.257538,0.955704,1.579744,4008.784719,07:01.2
257.0593,-0.475449,-3.007172,0.796738,3.14705,4008.814266,07:01.2
260.0138,0.16777,-1.228516,0.278259,1.270758,4008.843811,07:01.2
262.9686,-0.017426,-0.829956,-0.474701,0.95628,4008.873359,07:01.1
265.9231,-0.355209,-0.451065,-0.361542,0.678488,4008.902904,07:01.1
268.8776,-0.526596,-0.323898,-0.364319,0.717594,4008.932449,07:01.1
271.8315,-0.238831,-0.697205,-0.190979,0.761319,4008.961988,07:01.0
274.7862,-0.332565,-0.952972,-0.121262,1.016593,4008.991535,07:01.0
277.7406,-0.136368,-1.351532,-0.10582,1.36251,4009.021079,07:01.0
280.6949,-0.032043,-1.862762,0.041824,1.863507,4009.050622,07:01.0
283.6495,0.338531,-1.739471,0.585342,1.866277,4009.080168,07:00.9
286.604,0.37146,-1.182007,1.076202,1.641138,4009.109713,07:00.9
289.5566,0.60318,-0.910202,0.997086,1.478673,4009.139239,07:00.9
292.513,0.294617,-1.729233,1.331787,2.202431,4009.168803,07:00.8
295.4672,0.266373,-0.867752,1.564392,1.808665,4009.198345,07:00.8
298.4218,3.465744,2.981903,1.720398,4.884966,4009.227891,07:00.8
301.3764,-3.727737,-7.659622,-0.546951,8.536099,4009.257437,07:00.7
304.3308,1.105118,-0.111481,0.422668,1.188428,4009.286981,07:00.7
307.2848,1.182953,0.23584,0.902435,1.506449,4009.316521,07:00.7
310.2404,1.171036,-0.246384,1.227249,1.714109,4009.346077,07:00.7
313.195,0.955002,-1.089386,1.100861,1.819529,4009.375623,07:00.6
316.1498,0.495331,-1.034988,0.743439,1.367207,4009.405171,07:00.6
319.1045,0.292282,-0.59436,0.805588,1.042912,4009.434718,07:00.6
322.059,0.349884,-0.258331,0.721848,0.842744,4009.464263,07:00.5
325.0136,0.643036,-0.203171,0.594986,0.899323,4009.493809,07:00.5
327.968,0.640076,-0.473679,0.81366,1.138468,4009.523353,07:00.5
330.9225,0.448471,-0.677795,1.081833,1.353106,4009.552898,07:00.5
333.8772,-0.149338,-0.885162,1.047668,1.379646,4009.582445,07:00.4
336.832,0.039154,-1.605453,0.979904,1.881283,4009.611993,07:00.4
339.7867,0.245132,-1.456055,1.088104,1.834164,4009.64154,07:00.4
342.7413,0.361099,-0.920746,-0.262283,1.02321,4009.671086,07:00.3
345.6961,0.023666,-0.957504,-0.509354,1.084811,4009.700634,07:00.3
348.6508,-0.596512,-0.527954,-0.533844,0.958932,4009.730181,07:00.3
351.6056,-0.629364,-0.058273,-0.591843,0.865894,4009.759729,07:00.2
354.5604,-0.706451,-0.957657,-0.481369,1.283704,4009.789277,07:00.2
357.515,-0.501907,-1.482407,-0.274628,1.588981,4009.818823,07:00.2
360.4693,-0.000824,-1.926987,-0.246109,1.942639,4009.848366,07:00.2
363.4239,0.240356,-2.184875,0.348068,2.225445,4009.877912,07:00.1
366.3785,0.134872,-1.437256,1.133591,1.835463,4009.907458,07:00.1
369.3331,0.81601,-1.143936,1.126846,1.801179,4009.937004,07:00.1
372.2877,0.27948,-1.334396,1.764145,2.229558,4009.96655,07:00.0
375.2418,1.020599,-0.045685,-0.193207,1.03973,4009.996091,07:00.0
378.1964,1.608582,0.141037,0.590881,1.719467,4010.025637,07:00.0
381.1509,-0.07962,0.349747,3.109711,3.130329,4010.055182,07:00.0
384.1057,0.802658,0.347824,0.950943,1.292105,4010.08473,06:59.9
387.0603,2.033569,-0.232437,1.039963,2.295856,4010.114276,06:59.9
390.0151,0.896637,-1.012527,1.200775,1.808599,4010.143824,06:59.9
392.9699,0.388351,-0.712097,1.023087,1.305605,4010.173372,06:59.8
395.9242,0.55101,-0.512131,0.636276,0.98526,4010.202915,06:59.8
398.8789,0.683243,-0.394608,0.704697,1.057891,4010.232462,06:59.8
401.8333,0.986572,-0.305466,0.554489,1.172217,4010.262006,06:59.7
404.7877,0.574432,-0.591187,0.956848,1.262946,4010.29155,06:59.7
407.7424,0.17305,-0.657211,1.124237,1.31369,4010.321097,06:59.7
410.6965,-0.462891,-0.923553,1.033737,1.461448,4010.350638,06:59.7
413.6514,-0.057205,-1.824081,0.817978,1.999908,4010.380187,06:59.6
416.6058,0.341827,-1.646194,0.537369,1.765097,4010.409731,06:59.6
419.5602,0.558563,-1.166,-0.349182,1.339208,4010.439275,06:59.6
422.5146,-0.206375,-0.99234,-0.697189,1.230204,4010.468819,06:59.5
425.4691,-0.657883,-0.098312,-0.452316,0.804403,4010.498364,06:59.5
428.423,-1.141113,-0.74379,-0.706528,1.534452,4010.527903,06:59.5
431.3776,-0.740677,-1.691803,-0.52597,1.920272,4010.557449,06:59.4
434.332,-0.048965,-2.057175,-0.430817,2.102372,4010.586993,06:59.4
437.2865,0.339355,-2.338898,0.335007,2.387014,4010.616538,06:59.4
440.2404,0.347122,-1.498566,1.17981,1.938593,4010.646077,06:59.4
443.1947,0.684097,-0.937408,1.243515,1.700898,4010.67562,06:59.3
446.1466,0.385559,-1.544418,1.512177,2.195578,4010.705139,06:59.3
449.103,0.986099,-0.099075,-0.170258,1.005582,4010.734703,06:59.3
452.0573,1.35611,0.274948,1.198502,1.830583,4010.764246,06:59.2
455.0117,-0.403976,-0.451126,1.743896,1.846046,4010.79379,06:59.2
457.9662,0.927475,0.332855,1.077972,1.460489,4010.823335,06:59.2
460.9208,1.663422,-0.058578,1.412109,2.182763,4010.852881,06:59.2
463.8736,1.243469,-1.268066,1.288864,2.194397,4010.882409,06:59.1
466.8304,0.744873,-0.832474,1.133377,1.591349,4010.911977,06:59.1
469.7848,0.315567,-0.436768,0.800613,0.965055,4010.941521,06:59.1
472.7389,0.479202,-0.255066,0.833206,0.994448,4010.971062,06:59.0
475.6932,0.781342,-0.187897,0.514923,0.954435,4011.000605,06:59.0
478.6477,0.886627,-0.354355,0.819382,1.258198,4011.03015,06:59.0
481.6022,0.485519,-0.716232,1.063034,1.370678,4011.059695,06:58.9
484.5568,-0.457474,-1.023605,1.216339,1.654246,4011.089241,06:58.9
487.5111,-0.091751,-0.996536,0.850693,1.313461,4011.118784,06:58.9
490.4656,0.053299,-2.306168,1.172256,2.587554,4011.148329,06:58.9
493.42,0.476318,-1.103531,-0.425232,1.274944,4011.177873,06:58.8
496.3744,0.087372,-0.986221,-0.59201,1.153578,4011.207417,06:58.8
499.3291,-0.542694,-0.586014,-0.616882,1.009194,4011.236964,06:58.8
502.2834,-0.800018,0.139908,-0.255127,0.851289,4011.266507,06:58.7
505.2377,-0.794449,-1.022766,-0.457275,1.373426,4011.29605,06:58.7
508.1922,-0.43425,-1.694855,-0.568878,1.839763,4011.325595,06:58.7
511.1466,-0.227737,-2.379868,-0.41893,2.427166,4011.355139,06:58.7
514.1011,0.288116,-2.217972,0.860474,2.396419,4011.384684,06:58.6
517.0554,0.120911,-1.366104,1.32283,1.90545,4011.414227,06:58.6
520.0096,0.985886,-1.295975,1.190308,2.017016,4011.443769,06:58.6
522.9638,0.45015,-1.405136,1.506958,2.10902,4011.473311,06:58.5
525.9181,2.160065,1.639069,0.54483,2.765731,4011.502854,06:58.5
528.8725,1.178345,-3.380234,-0.919662,3.695978,4011.532398,06:58.5
531.8268,0.691284,-0.126129,1.428345,1.591839,4011.561941,06:58.4
534.7813,1.236237,0.532394,1.357407,1.911616,4011.591486,06:58.4
537.7355,1.77951,-0.50885,1.474091,2.366121,4011.621028,06:58.4
540.6899,1.273285,-1.014572,1.439957,2.173496,4011.650572,06:58.4
543.6444,0.401962,-0.94072,0.775024,1.283429,4011.680117,06:58.3
546.5986,0.394623,-0.555222,0.794998,1.04691,4011.709659,06:58.3
549.5524,0.52327,-0.263794,0.547501,0.80197,4011.739197,06:58.3
552.5071,1.05545,-0.220139,0.459534,1.17201,4011.768744,06:58.2
555.4616,1.027954,-0.490173,0.913498,1.459945,4011.798289,06:58.2
558.4159,0.232254,-0.7043,1.083649,1.313116,4011.827832,06:58.2
561.3633,-0.526505,-0.901459,1.076614,1.499644,4011.857306,06:58.2
564.3178,-0.566391,-2.76796,1.185745,3.064048,4011.886851,06:58.1
567.2718,0.629715,-1.510315,0.40715,1.686228,4011.916391,06:58.1
570.2266,0.730255,-1.190887,-0.505325,1.485543,4011.945939,06:58.1
573.181,-0.183685,-0.86676,-0.718002,1.140413,4011.975483,06:58.0
576.1355,-0.900726,-0.188232,-0.359039,0.987749,4012.005028,06:58.0
579.0897,-0.961914,-0.426636,-0.43811,1.139841,4012.03457,06:58.0
582.0438,-0.826202,-1.42984,-0.478455,1.719294,4012.064111,06:57.9
584.9977,-0.099686,-1.945312,-0.48793,2.008047,4012.09365,06:57.9
587.9524,-0.059113,-2.460373,0.167801,2.466797,4012.123197,06:57.9
590.9065,0.08078,-1.746658,1.123566,2.078399,4012.152738,06:57.9
593.8611,0.538712,-1.349106,1.252274,1.917938,4012.182284,06:57.8
596.8156,0.665344,-1.408798,1.558899,2.203988,4012.211829,06:57.8
599.7704,1.085724,1.092896,-0.117081,1.544968,4012.241377,06:57.8
602.7248,1.73024,-1.56781,-0.597351,2.410101,4012.270921,06:57.7
605.6798,0.769882,-0.187195,1.477112,1.676192,4012.300471,06:57.7
608.6341,0.865707,0.227707,1.156693,1.462613,4012.330014,06:57.7
611.5883,1.780182,0.131897,1.341614,2.233019,4012.359556,06:57.6
614.5426,1.046051,-1.029114,1.377853,2.012903,4012.389099,06:57.6
617.4967,1.000198,-0.656769,1.119553,1.63864,4012.41864,06:57.6
620.4508,0.737106,-0.785797,0.653046,1.25987,4012.448181,06:57.6
623.4053,0.670792,-0.596863,0.725006,1.154054,4012.477726,06:57.5
626.3595,0.829483,-0.378082,0.478394,1.02949,4012.507268,06:57.5
629.3138,0.65976,-0.616882,0.819046,1.219288,4012.536811,06:57.5
632.2681,0.230255,-0.742844,1.260284,1.480929,4012.566354,06:57.4
635.2223,-0.42482,-0.940826,0.963043,1.411764,4012.595896,06:57.4
638.1764,-0.213943,-1.913849,1.016235,2.177458,4012.625437,06:57.4
641.1312,0.332535,-1.532898,0.491547,1.643768,4012.654985,06:57.4
644.0856,0.341568,-1.390533,-0.622238,1.561228,4012.684529,06:57.3
647.0399,-0.191406,-0.909805,-0.594894,1.103758,4012.714072,06:57.3
649.9949,-0.831726,-0.523148,-0.596085,1.149247,4012.743622,06:57.3
652.9494,-0.910919,-0.206268,-0.267792,0.971614,4012.773167,06:57.2
655.9033,-0.952805,-1.607666,-0.749908,2.013651,4012.802706,06:57.2
658.8579,-0.168427,-1.985626,-0.553848,2.068291,4012.832252,06:57.2
661.8122,0.083969,-2.702698,0.151428,2.708239,4012.861795,06:57.1
664.7661,0.623276,-1.613434,1.169281,2.087788,4012.891334,06:57.1
667.7203,0.349106,-1.709183,1.54126,2.327802,4012.920876,06:57.1
670.6748,0.571426,-1.269379,1.547729,2.081662,4012.950421,06:57.1
673.627,2.442825,2.2117,0.740585,3.377496,4012.979943,06:57.0
676.5836,-1.336288,-7.399109,-1.594147,7.685947,4013.009509,06:57.0
679.5378,1.570023,0.291229,1.239166,2.021217,4013.039051,06:57.0
682.4919,1.958115,0.605133,1.568634,2.580894,4013.068592,06:56.9
685.4463,1.305649,-1.332382,1.383118,2.322278,4013.098136,06:56.9
688.4009,0.950333,-0.581528,1.374405,1.769264,4013.127682,06:56.9
691.3557,0.551682,-0.613754,0.683044,1.071259,4013.15723,06:56.8
694.3103,0.561768,-0.5065,0.735947,1.05534,4013.186776,06:56.8
697.2634,0.727722,-0.32283,0.533432,0.958305,4013.216307,06:56.8
700.2194,0.661179,-0.364136,0.812225,1.108811,4013.245867,06:56.8
703.1743,0.411148,-0.65683,1.155441,1.391227,4013.275416,06:56.7
706.1287,-0.519577,-0.950058,1.247299,1.651764,4013.30496,06:56.7
709.0832,-0.062408,-1.0392,0.770737,1.295325,4013.334505,06:56.7
712.038,0.111145,-2.154434,1.110947,2.426549,4013.364053,06:56.6
714.9929,0.391251,-1.395447,-0.478027,1.52606,4013.393602,06:56.6
717.9474,0.030869,-1.109421,-0.419724,1.186564,4013.423147,06:56.6
720.9024,-0.481079,-0.623657,-0.611237,0.996993,4013.452697,06:56.6
723.8572,-0.886261,0.081619,-0.338409,0.952177,4013.482245,06:56.5
726.812,-0.990479,-1.040024,-0.521576,1.527985,4013.511793,06:56.5
729.7667,-0.486588,-1.803589,-0.627457,1.970635,4013.54134,06:56.5
732.721,-0.022354,-2.541122,-0.414459,2.574797,4013.570883,06:56.4
735.6757,0.400436,-2.124359,0.64003,2.254526,4013.60043,06:56.4
738.6302,0.657654,-1.163254,1.289398,1.856937,4013.629975,06:56.4
741.585,0.565781,-2.206787,1.662842,2.820472,4013.659523,06:56.3
744.5393,0.519196,-1.239624,1.317947,1.882344,4013.689066,06:56.3
747.4938,3.315399,3.463974,2.543365,5.427679,4013.718611,06:56.3
750.4482,-3.311539,-4.958801,-1.318573,6.106933,4013.748155,06:56.3
753.4027,0.923904,0.086929,1.048828,1.400427,4013.7777,06:56.2
756.3572,2.069153,0.467148,1.431061,2.558819,4013.807245,06:56.2
759.312,1.626312,-0.928299,1.396591,2.336043,4013.836793,06:56.2
762.2667,0.734848,-1.089096,1.21286,1.788061,4013.86634,06:56.1
765.2211,0.366745,-0.80896,0.811005,1.202766,4013.895884,06:56.1
768.1759,0.581146,-0.610031,0.90918,1.239547,4013.925432,06:56.1
771.1305,1.013748,-0.392242,0.53537,1.211677,4013.954978,06:56.1
774.0849,0.860947,-0.677505,0.920074,1.430657,4013.984522,06:56.0
777.0395,0.105545,-0.59877,1.244461,1.385045,4014.014068,06:56.0
779.9939,-0.653732,-0.805786,1.118774,1.525881,4014.043612,06:56.0
782.9486,-0.486908,-2.388336,1.246948,2.737902,4014.073159,06:55.9
785.9033,0.257797,-1.378372,0.275314,1.429044,4014.102706,06:55.9
788.8577,0.533066,-1.494476,-0.498489,1.663163,4014.13225,06:55.9
791.8124,-0.033707,-1.080292,-0.528275,1.203013,4014.161797,06:55.8
794.7661,-0.825394,-0.236252,-0.442886,0.966042,4014.191334,06:55.8
797.721,-1.316086,-0.402893,-0.692657,1.540837,4014.220883,06:55.8
800.6755,-0.998459,-1.764923,-0.828476,2.19049,4014.250428,06:55.8
803.6297,0.042557,-2.10585,-0.670319,2.210372,4014.27997,06:55.7
806.5842,0.298752,-2.748062,0.001022,2.764254,4014.309515,06:55.7
809.5388,0.14212,-1.658478,1.196487,2.049958,4014.339061,06:55.7
812.4919,0.158737,-1.78334,1.560379,2.374928,4014.368592,06:55.6
815.4484,0.633835,-1.236603,1.821411,2.290954,4014.398157,06:55.6
818.4032,1.965118,2.249924,0.16124,2.991629,4014.427705,06:55.6
821.3576,-0.349243,-6.716782,-0.628326,6.75514,4014.457249,06:55.5
824.3123,1.257004,-0.090256,0.569183,1.382814,4014.486796,06:55.5
827.2668,1.466705,0.431564,1.243561,1.970765,4014.516341,06:55.5
830.2213,1.581284,-0.05777,1.448395,2.145144,4014.545886,06:55.5
833.1759,1.228317,-1.049133,1.23793,2.03517,4014.575432,06:55.4
836.1305,0.209549,-1.072678,0.873657,1.399223,4014.604978,06:55.4
839.0853,0.418015,-0.866791,0.875412,1.300926,4014.634526,06:55.4
842.0395,0.588837,-0.478134,0.663605,1.007825,4014.664068,06:55.3
844.9941,1.095184,-0.521545,0.669998,1.385762,4014.693614,06:55.3
847.9487,0.589325,-0.916641,1.071762,1.528466,4014.72316,06:55.3
850.9035,-0.31076,-0.791183,1.257172,1.517572,4014.752708,06:55.3
853.8579,-0.215607,-0.792603,0.794891,1.143047,4014.782252,06:55.2
856.812,-0.419922,-2.155045,1.276855,2.539864,4014.811793,06:55.2
859.7671,0.307541,-1.197601,-0.251602,1.261798,4014.841344,06:55.2
862.7216,0.361115,-1.299789,-0.533279,1.450601,4014.870889,06:55.1
865.6763,-0.223053,-0.835968,-0.781769,1.166086,4014.900436,06:55.1
868.6308,-0.891983,0.084488,-0.358795,0.965146,4014.929981,06:55.1
871.5851,-1.086487,-0.944427,-0.856369,1.675042,4014.959524,06:55.0
874.5392,-0.395935,-2.023117,-0.979187,2.28223,4014.989065,06:55.0
877.4937,0.010345,-2.651108,-0.50563,2.698915,4015.01861,06:55.0
880.4482,0.370224,-2.406982,0.617584,2.512377,4015.048155,06:55.0
883.4027,0.498627,-1.069473,1.458557,1.87611,4015.0777,06:54.9
886.3575,0.461472,-2.115616,1.70076,2.753429,4015.107248,06:54.9
889.3118,1.086823,-0.288559,-0.038467,1.125135,4015.136791,06:54.9
892.2663,1.571869,0.387192,1.76413,2.394336,4015.166336,06:54.8
895.2209,0.400284,0.079437,3.026932,3.054317,4015.195882,06:54.8
898.1755,1.252151,0.775055,1.453751,2.069296,4015.225428,06:54.8
901.13,2.065308,-0.554855,1.607651,2.675425,4015.254973,06:54.8
904.0843,0.983887,-1.143967,1.657516,2.24144,4015.284516,06:54.7
907.0387,0.466415,-0.53244,0.797516,1.066334,4015.31406,06:54.7
909.9933,0.381393,-0.187271,0.917114,1.010757,4015.343606,06:54.7
912.9479,0.825104,-0.24939,0.540298,1.017307,4015.373152,06:54.6
915.9026,1.505768,-0.491104,0.471527,1.652531,4015.402699,06:54.6
918.8572,0.544662,-0.959167,1.218002,1.643225,4015.432245,06:54.6
921.8121,-0.800522,-0.7276,1.399094,1.76853,4015.461794,06:54.5
924.7669,-0.367264,-1.438049,0.994583,1.786635,4015.491342,06:54.5
927.7215,0.130539,-1.742783,1.181229,2.109415,4015.520888,06:54.5
930.6761,0.686371,-1.361298,-0.552399,1.621536,4015.550434,06:54.5
933.6302,0.32991,-1.302048,-0.910736,1.62284,4015.579975,06:54.4
936.5854,-0.527496,-0.710617,-0.557404,1.04591,4015.609527,06:54.4
939.5402,-1.031998,0.188965,0.087982,1.052838,4015.639075,06:54.4
942.4948,-1.138382,-1.236969,-0.671417,1.810195,4015.668621,06:54.3
945.4492,-0.264999,-2.108551,-0.93721,2.322622,4015.698165,06:54.3
948.4035,0.444977,-3.08667,-0.479507,3.155228,4015.727708,06:54.3
951.3557,0.182053,-2.110718,1.033768,2.357318,4015.75723,06:54.2
954.3127,0.443634,-2.152405,1.677597,2.764777,4015.7868,06:54.2
957.267,0.553024,-1.192017,1.660126,2.117252,4015.816343,06:54.2
960.2215,3.313705,3.430084,1.425751,4.97784,4015.845888,06:54.2
963.1758,-2.092117,-7.852768,-0.758911,8.162038,4015.875431,06:54.1
966.1303,1.220322,0.069977,0.800369,1.461052,4015.904976,06:54.1
969.0844,1.496445,0.653275,1.510208,2.22415,4015.934517,06:54.1
972.0387,2.157776,-1.304947,1.420853,2.894427,4015.96406,06:54.0
974.9932,0.998322,-0.657532,1.304123,1.769104,4015.993605,06:54.0
977.9478,0.428528,-0.541214,0.843597,1.090048,4016.023151,06:54.0
980.9022,0.490234,-0.486679,0.803772,1.059828,4016.052695,06:54.0
983.8566,0.971741,-0.253418,0.519882,1.130831,4016.082239,06:53.9
986.8109,0.870972,-0.488007,0.799896,1.279287,4016.111782,06:53.9
989.765,0.284912,-0.585342,1.197174,1.362728,4016.141323,06:53.9
992.7195,-0.563171,-0.840302,1.335541,1.675392,4016.170868,06:53.8
995.6737,0.028656,-1.531738,1.156097,1.919272,4016.20041,06:53.8
998.6281,0.170959,-1.590424,0.800644,1.788772,4016.229954,06:53.8
1001.5825,0.610489,-1.780853,-0.392166,1.923,4016.259498,06:53.7
1004.5375,0.416092,-1.169693,-0.672913,1.412135,4016.289048,06:53.7
1007.4921,-0.649048,-0.546448,-0.742371,1.127379,4016.318594,06:53.7
1010.447,-1.266235,0.253357,-0.203568,1.30728,4016.348143,06:53.7
1013.4015,-1.148178,-1.467392,-0.843323,2.045176,4016.377688,06:53.6
1016.3559,-0.206055,-2.172302,-0.78952,2.320495,4016.407232,06:53.6
1019.3101,0.085922,-3.054123,-0.072678,3.056196,4016.436774,06:53.6
1022.2647,0.197311,-1.991135,1.165222,2.315446,4016.46632,06:53.5
1025.2189,0.845596,-1.420044,1.396271,2.163592,4016.495862,06:53.5
1028.1734,0.407303,-1.31601,1.779938,2.250768,4016.525407,06:53.5
1031.1277,3.522537,3.958664,0.541412,5.326576,4016.55495,06:53.5
1034.0822,-1.97467,-7.758408,0.388382,8.015176,4016.584495,06:53.4
1037.0365,0.831131,0.093765,0.863434,1.202118,4016.614038,06:53.4
1039.9909,1.263672,0.793823,1.389893,2.039319,4016.643582,06:53.4
1042.9449,2.122955,-1.297501,1.443558,2.876509,4016.673122,06:53.3
1045.8991,1.096588,-0.78067,1.500626,2.015894,4016.702664,06:53.3
1048.854,0.345703,-0.356827,0.835434,0.972001,4016.732213,06:53.3
1051.8087,0.462708,-0.32843,0.875305,1.043132,4016.76176,06:53.2
1054.7629,0.838638,-0.257248,0.482986,1.001382,4016.791302,06:53.2
1057.7181,1.351364,-0.439224,0.643646,1.559931,4016.820854,06:53.2
1060.668,0.443008,-0.699829,1.281967,1.526256,4016.850353,06:53.2
