time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
395.844,5333.933657,0.479355,-1.213928,0.579422,1.427982
398.7985,5333.963202,0.270676,-1.150116,0.677429,1.361963
401.7528,5333.992745,0.133774,-0.876205,0.567261,1.052338
404.707,5334.022287,0.157547,-0.669785,0.494858,0.847536
407.6611,5334.051828,0.225128,-0.658447,0.360077,0.783512
410.6151,5334.081368,0.460587,-0.605911,0.321198,0.826097
413.5696,5334.110913,0.348083,-0.558716,0.295776,0.721671
416.5239,5334.140456,0.200378,-0.598648,0.322601,0.708945
419.4782,5334.169999,0.104889,-0.846451,0.3526,0.922934
422.4297,5334.199514,0.341064,-0.761703,0.701721,1.090381
425.3872,5334.229089,0.145874,-1.008453,0.517349,1.142763
428.3415,5334.258632,0.104431,-1.134415,0.335571,1.187607
431.2954,5334.288171,0.115677,-1.124054,0.133118,1.137804
434.2494,5334.317711,0.090576,-1.044479,0.003128,1.048404
437.2035,5334.347252,0.207932,-1.072037,0.059494,1.093635
440.1577,5334.376794,0.142166,-1.105316,0.067261,1.116449
443.1118,5334.406335,-0.000961,-1.173203,0.168396,1.185227
446.0661,5334.435878,-0.04541,-1.1465,0.240112,1.172253
449.0201,5334.465418,-0.012299,-1.102127,0.272919,1.135482
451.9744,5334.494961,-0.023941,-0.997452,0.256409,1.03016
454.9286,5334.524503,-0.001892,-0.955566,0.189178,0.974115
457.883,5334.554047,-0.01062,-0.980652,0.17804,0.996739
460.8372,5334.583589,-0.076172,-0.963318,0.128052,0.974772
463.791,5334.613127,-0.123199,-0.963272,0.126709,0.97935
466.745,5334.642667,-0.060608,-0.96524,0.137253,0.976832
469.6992,5334.672209,-0.071609,-0.995331,0.19191,1.016189
472.6533,5334.70175,-0.105255,-0.95546,0.146179,0.972291
475.6072,5334.731289,-0.084015,-0.954544,0.095779,0.963009
478.5613,5334.76083,-0.069412,-0.994003,0.143173,1.006657
481.5151,5334.790368,-0.10173,-0.996231,0.081375,1.004713
484.469,5334.819907,-0.210312,-0.95134,0.070877,0.976884
487.4229,5334.849446,-0.358093,-0.932571,0.036438,0.999624
490.3769,5334.878986,-0.250061,-0.972427,0.039536,1.004843
493.3309,5334.908526,-0.122131,-0.966034,0.042572,0.974654
496.2851,5334.938068,-0.309235,-1.009583,0.142258,1.06542
499.2393,5334.96761,-0.367889,-0.812927,0.314636,0.946144
502.1938,5334.997155,-0.169785,-0.950211,-0.20105,0.985976
505.148,5335.026697,0.852234,-1.048355,-0.086334,1.353811
508.1022,5335.056239,-0.224396,-0.819809,0.111679,0.85727
511.0565,5335.085782,-1.211685,-2.153549,0.22081,2.480869
514.01,5335.115317,0.195908,-1.399155,-0.077896,1.414949
516.9647,5335.144864,0.371674,-0.473297,0.423218,0.735707
519.9188,5335.174405,0.476913,-0.63884,0.565445,0.97739
522.8733,5335.20395,0.249405,-1.042938,0.469971,1.17081
525.8277,5335.233494,0.339905,-1.275604,0.411942,1.382895
528.7819,5335.263036,0.460724,-1.356598,0.518555,1.523655
531.7356,5335.292573,0.350021,-1.077835,0.525497,1.249156
534.6902,5335.322119,0.233109,-0.637589,0.46109,0.820648
537.6445,5335.351662,0.207428,-0.582153,0.517639,0.806151
540.5988,5335.381205,0.225067,-0.575058,0.353912,0.711759
543.5529,5335.410746,0.36969,-0.554977,0.32872,0.743456
546.5069,5335.440286,0.39061,-0.475128,0.317307,0.692103
549.459,5335.469807,0.173981,-0.526596,0.243515,0.6057
552.4147,5335.499364,0.100601,-0.821594,0.316498,0.886176
555.3687,5335.528904,0.235352,-0.792282,0.863052,1.194973
558.3226,5335.558443,-0.357788,-1.085342,0.766953,1.376298
561.2764,5335.587981,0.008087,-1.31427,0.152115,1.323068
564.2301,5335.617518,0.260223,-1.464218,-0.341476,1.525863
567.1825,5335.647042,0.173752,-1.632309,-0.088928,1.643937
570.1377,5335.676594,-0.121918,-1.469147,0.152435,1.482057
573.0916,5335.706133,-0.108582,-1.097519,0.138275,1.111511
576.0457,5335.735674,-0.000504,-0.969666,0.127762,0.978046
579,5335.765217,-0.046432,-0.985123,0.235001,1.013828
581.9542,5335.794759,-0.114182,-0.932083,0.211548,0.962584
